"The cart has no products.","El carrito no tiene productos."
"Orkestapay payment not found.","No se encontró el pago de Orkestapay."
"Payment was not completed.","El pago no fue completado."
"Order created successfully. Order ID: %1","Orden creada con éxito. ID de la orden: %1"
"Error creating order: %1","Error al crear la orden: %1"
"An error has occurred: %1","Ha ocurrido un error: %1"
"01 - January","01 - Enero"
"02 - February","02 - Febrero"
"03 - March","03 - Mazro"
"04 - April","04 - Abril"
"05 - May","05 - Mayo"
"06 - June","06 - Junio"
"07 - July","07 - Julio"
"08 - August","08 - Agosto"
"09 - September","09 - Septiembre"
"10 - October","10 - Octubre"
"11 - November","11 - Noviembre"
"12 - December","12 - Diciembre"
"Invalid amount for refund.","Importe no válido para reembolso."
"Invalid amount for capture.","Monto no válido para la captura."
"Payment capturing error.","Error al capturar pago."
"An internal error occurred in Magento. Please try again later.","Ocurrió un error interno en Magento. Intente más tarde."
"Place Order","Realizar pedido"
"Orkestapay","Orkestapay"
Habilitar,Enable
Sandbox,Sandbox
Title,Título
"Merchant ID","Identificador del comercio"
"Client ID","Llave de acceso"
"Client Secret","Llave secreta"
"Public Key","Llave pública"
"Webhook Signing Secret","Webhook Signing Secret"
"Payment from Applicable Countries","Pago aplicable para países"
"Payment from Specific Countries","Pago para países específicos"
Order,Orden
"Thank you for your purchase!","¡Gracias por su compra!"
